sembol,karar,giris_zaman,giris_fiyat,cikis_zaman,cikis_fiyat,getiri_%,nedenler
ATSYH.IS,GÜÇLÜ AL,2026-08-17 11:56,120.0,2026-08-17 13:58,120.0,0.0,Hacim satış yönünde belirgin arttı
SNPAM.IS,GÜÇLÜ AL,2026-08-17 11:56,20.100000381469727,2026-08-17 13:58,20.100000381469727,0.0,Hacim satış yönünde belirgin arttı
AKENR.IS,GÜÇLÜ AL,2026-08-17 09:25,10.770000457763672,2026-08-17 14:59,11.229999542236328,4.27,Hacim satış yönünde belirgin arttı
BIGEN.IS,GÜÇLÜ AL,2026-08-17 13:58,133.8000030517578,2026-08-17 14:59,133.1999969482422,-0.45,Hacim satış yönünde belirgin arttı
ATSYH.IS,GÜÇLÜ AL,2026-08-17 14:07,120.0,2026-08-17 14:59,120.0,0.0,Hacim satış yönünde belirgin arttı
SNPAM.IS,GÜÇLÜ AL,2026-08-17 14:07,20.100000381469727,2026-08-17 14:59,20.100000381469727,0.0,Hacim satış yönünde belirgin arttı
KNFRT.IS,GÜÇLÜ AL,2026-08-13 14:44,12.0600004196167,2026-08-17 15:56,12.670000076293945,5.06,Hacim satış yönünde belirgin arttı
CLEBI.IS,AL,2026-08-17 11:56,1550.0,2026-08-17 15:56,1547.0,-0.19,Hacim satış yönünde belirgin arttı
VBTYZ.IS,AL,2026-08-17 11:56,33.279998779296875,2026-08-17 15:56,33.0,-0.84,Hacim satış yönünde belirgin arttı
TMPOL.IS,GÜÇLÜ AL,2026-08-17 14:59,553.5,2026-08-17 15:56,524.5,-5.24,Hacim satış yönünde belirgin arttı
ISFIN.IS,GÜÇLÜ AL,2026-08-12 14:44,20.459999084472656,2026-08-18 08:20,20.6200008392334,0.78,MACD aşağı kesişim yaptı
AYDEM.IS,AL,2026-08-17 09:25,26.520000457763672,2026-08-18 08:20,27.440000534057617,3.47,Hacim satış yönünde belirgin arttı
BINBN.IS,GÜÇLÜ AL,2026-08-17 09:25,183.1999969482422,2026-08-18 08:20,181.6999969482422,-0.82,Hacim satış yönünde belirgin arttı
CEMZY.IS,AL,2026-08-17 09:25,14.630000114440918,2026-08-18 08:20,14.1899995803833,-3.01,Hacim satış yönünde belirgin arttı
EDATA.IS,AL,2026-08-17 09:25,19.899999618530273,2026-08-18 08:20,21.100000381469727,6.03,Hacim satış yönünde belirgin arttı
EGGUB.IS,AL,2026-08-17 09:25,104.0999984741211,2026-08-18 08:20,100.19999694824219,-3.75,Hacim satış yönünde belirgin arttı
GLBMD.IS,GÜÇLÜ AL,2026-08-17 09:25,12.989999771118164,2026-08-18 08:20,12.399999618530273,-4.54,MACD aşağı kesişim yaptı; RSI 50'nin altına düştü; Fiyat EMA50'nin altında kapandı
KRDMD.IS,AL,2026-08-17 09:25,42.65999984741211,2026-08-18 08:20,44.720001220703125,4.83,Hacim satış yönünde belirgin arttı
TGSAS.IS,AL,2026-08-17 09:25,212.1999969482422,2026-08-18 08:20,208.6999969482422,-1.65,Hacim satış yönünde belirgin arttı
TKNSA.IS,GÜÇLÜ AL,2026-08-17 09:25,19.739999771118164,2026-08-18 08:20,21.700000762939453,9.93,Kar hedefine ulaşıldı (21.36)
BYDNR.IS,AL,2026-08-17 10:06,39.400001525878906,2026-08-18 08:20,38.13999938964844,-3.2,RSI 50'nin altına düştü; Fiyat EMA50'nin altında kapandı
KRDMA.IS,AL,2026-08-17 10:19,45.619998931884766,2026-08-18 08:20,46.099998474121094,1.05,Hacim satış yönünde belirgin arttı
BALAT.IS,GÜÇLÜ AL,2026-08-17 11:03,74.0,2026-08-18 08:20,70.5,-4.73,RSI 50'nin altına düştü; Fiyat EMA50'nin altında kapandı; Stop-loss tetiklendi (72.57)
